vals,count
joe,13
little,9
crazy,8
the,8
wacky,6
nancy,6
mr,6
comey,6
hillary,4
jeff,4
mike,4
for,4
trump,4
guy,3
dopey,3
from,3
that,3
1,3
sleepy,3
tom,3
low,3
liddle,3
dog,3
man,3
senator,3
mini,2
pelosi,2
pocahontas,2
sleepin,2
bloomberg,2
woman,2
bernie,2
corrupt,2
elizabeth,2
puppet,2
high,2
omarosa,2
rocket,2
warren,2
nang,2
crooked,2
ted,2
waters,2
jerry,2
tim,2
bob,2
iq,2
sloppy,2
da,2
adam,2
michael,2
dianne,2
feinstein,2
maxine,2
steyer,2
schiff,2
mad,2
edge,2
lyin,2
psycho,2
marco,2
gretchen,1
antoinette,1
ben,1
h,1
dummy,1
rand,1
zucker,1
dumb,1
dicky,1
mika,1
slimeball,1
michigan,1
moonbeam,1
monster,1
cuban,1
animal,1
bush,1
evita,1
cheatin,1
beto,1
lying,1
professor,1
schitt,1
megyn,1
cutie,1
alfred,1
magoo,1
wise,1
eyes,1
durbin,1
energy,1
james,1
sham,1
ms,1
goofy,1
sick,1
deutsch,1
44,1
texas,1
kamala,1
obama,1
dumbo,1
charles,1
peepers,1
george,1
atheist,1
tropics,1
brown,1
marillyn,1
mystery,1
neuman,1
left,1
steve,1
cryin,1
american,1
rock,1
leaking,1
pencil,1
kaine,1
fake,1
puppy,1
samantha,1
basically,1
juan,1
jeb,1
braindead,1
giuseppi,1
morning,1
flunkie,1
38,1
heartless,1
indian,1
assad,1
wilson,1
shifty,1
flakey,1
mark,1
bill,1
corker,1
sasse,1
a,1
canada,1
flake,1
lemon,1
foul,1
duarte,1
creepy,1
slippery,1
kirsten,1
dictator,1
pakistani,1
weird,1
favorite,1
paul,1
quid,1
gov,1
luther,1
on,1
evan,1
tax,1
moonface,1
gillibrand,1
lover,1
boot,1
congresswoman,1
snowman,1
rejected,1
nervous,1
off,1
flailer,1
wheres,1
moderate,1
obiden,1
wallace,1
lightweight,1
dick,1
neck,1
kellyanne,1
beijing,1
slow,1
hell,1
mcmuffin,1
eva,1
hiden,1
kurd,1
41,1
nutty,1
hunter,1
0%,1
justin,1
penn,1
hemisphere,1
chin,1
sir,1
donny,1
weirdo,1
punchy,1
e,1
beck,1
china,1
1%,1
cbs,1
pounce,1
casey,1
lockheed,1
frankenstein,1
glenn,1
mort,1
husband,1
wild,1
goofball,1
richard,1
leakin,1
peron,1
flunky,1
as,1
bee,1
bozo,1
jones,1
shady,1
deranged,1
sanctimonious,1
southern,1
record,1
katy,1
fat,1
fraud,1
chuck,1
13,1
mouthed,1
moore,1
tough,1
impeachment,1
wannabe,1
big,1
lamb,1
sour,1
and,1
basement,1
sneaky,1
no,1
conway,1
talent,1
uber,1
of,1
cnn,1
al,1
alex,1
whitmer,1
jacky,1
arnold,1
half,1
skank,1
britain,1
fredo,1
truly,1
phony,1
crime,1
zuckerman,1
ryan,1
omar,1
apple,1
pie,1
pro,1
original,1
my,1
